state,fips,district,Income (In 2011 Inflation-Adjusted Dollars):Median Household Income,Income (In 2011 Inflation-Adjusted Dollars):Median Household IncomeMOE,Housing Occupancy:Occupied Housing Units,Housing Occupancy:Occupied Housing UnitsMOE,Housing Occupancy:Total Housing Units,Housing Occupancy:Total Housing UnitsMOE,Housing Occupancy:Vacant Housing Units,Housing Occupancy:Vacant Housing UnitsMOE,Age:10 to 14 years,Age:10 to 14 yearsMOE,Age:15 to 19 years,Age:15 to 19 yearsMOE,Age:20 to 24 years,Age:20 to 24 yearsMOE,Age:25 to 34 years,Age:25 to 34 yearsMOE,Age:35 to 44 years,Age:35 to 44 yearsMOE,Age:45 to 54 years,Age:45 to 54 yearsMOE,Age:5 to 9 years,Age:5 to 9 yearsMOE,Age:55 to 59 years,Age:55 to 59 yearsMOE,Age:60 to 64 years,Age:60 to 64 yearsMOE,Age:65 years and over,Age:65 years and overMOE,Age:Total Population,Age:Total PopulationMOE,Age:Under 5 years,Age:Under 5 yearsMOE,Veteran Status:Civilian Population 18 Years and Over,Veteran Status:Civilian Population 18 Years and OverMOE,Veteran Status:Civilian Veterans,Veteran Status:Civilian VeteransMOE,Sex:Female,Sex:FemaleMOE,Sex:Male,Sex:MaleMOE,Sex:Total Population,Sex:Total PopulationMOE,Educational Attainment:9th to 12th Grade No Diploma,Educational Attainment:9th to 12th Grade No DiplomaMOE,Educational Attainment:Associate's Degree,Educational Attainment:Associate's DegreeMOE,Educational Attainment:Bachelor's Degree,Educational Attainment:Bachelor's DegreeMOE,Educational Attainment:Graduate or Professional Degree,Educational Attainment:Graduate or Professional DegreeMOE,Educational Attainment:High School Graduate (Includes Equivalency),Educational Attainment:High School Graduate (Includes Equivalency)MOE,Educational Attainment:Less than 9th Grade,Educational Attainment:Less than 9th GradeMOE,Educational Attainment:Percent Bachelor's Degree or Higher,Educational Attainment:Percent Bachelor's Degree or HigherMOE,Educational Attainment:Percent High School Graduate or Higher,Educational Attainment:Percent High School Graduate or HigherMOE,Educational Attainment:Population 25 Years and Over,Educational Attainment:Population 25 Years and OverMOE,Educational Attainment:Some College No Degree,Educational Attainment:Some College No DegreeMOE,Race:American Indian and Alaska Native,Race:American Indian and Alaska NativeMOE,Race:Asian,Race:AsianMOE,Race:Black or African American,Race:Black or African AmericanMOE,Race:Native Hawaiian and Other Pacific Islander,Race:Native Hawaiian and Other Pacific IslanderMOE,Race:One Race,Race:One RaceMOE,Race:Some Other Race,Race:Some Other RaceMOE,Race:Total Population,Race:Total PopulationMOE,Race:Two or More Races,Race:Two or More RacesMOE,Race:White,Race:WhiteMOE,Hispanic or Latino Origin:Hispanic or Latino (of any race),Hispanic or Latino Origin:Hispanic or Latino (of any race)MOE,Hispanic or Latino Origin:Not Hispanic or Latino,Hispanic or Latino Origin:Not Hispanic or LatinoMOE,Hispanic or Latino Origin:Total Population,Hispanic or Latino Origin:Total PopulationMOE,Housing Tenure:Occupied Housing Units,Housing Tenure:Occupied Housing UnitsMOE,Housing Tenure:Owner-Occupied Housing Units,Housing Tenure:Owner-Occupied Housing UnitsMOE,Housing Tenure:Renter-Occupied Housing Units,Housing Tenure:Renter-Occupied Housing UnitsMOE,Population:Total Population,Population:Total PopulationMOE
California,06,10,49660,2267,225443,3372,240516,2843,15073,2170,58819,4238,60204,2526,50614,2356,94941,3106,93807,3137,99323,2656,55442,4006,41846,3074,32094,2330,73509,2702,713912,5496,53313,2373,508335,5639,36211,3280,354547,3355,359365,4925,713912,5496,47846,4338,32816,3567,53587,4693,22972,3102,124290,5866,50736,5055,17.6,1.4,77.4,1.4,435520,4327,103273,5813,7291,1900,45238,4023,27699,3805,5066,1375,678602,9221,56105,9367,713912,5496,35310,6641,537203,12512,285625,7853,428287,8625,713912,5496,225443,3372,134835,4305,90608,4368,713912,5496
California,06,11,69586,2775,261791,3823,281496,3627,19705,3120,48369,3831,44593,3005,44426,2987,92895,4367,96228,4702,107007,3977,46482,4024,50063,3343,45606,3406,101011,2970,722847,9256,46167,2663,556201,7706,39938,2625,370096,6345,352751,5948,722847,9256,29626,3599,34536,2985,118800,5670,83299,5098,90242,5010,32558,3363,41,1.4,87.4,0.9,492810,6218,103749,5646,3264,1017,91362,6709,66486,5695,3877,836,688474,9754,53452,8006,722847,9256,34373,4873,470033,11682,182571,9439,540276,11613,722847,9256,261791,3823,165379,4653,96412,4624,722847,9256
California,06,12,69046,2968,308905,4065,341754,2735,32849,3296,20331,1783,27004,1915,45745,3180,159694,2471,118639,2524,96531,2927,24693,2260,42247,2945,40743,2775,94124,2409,700605,9768,30854,1544,610073,7746,24806,2242,341196,5564,359409,5234,700605,9768,27687,3271,28431,3253,184573,7835,115777,5762,70012,5271,46149,4321,54.4,1.5,86.6,1,551978,6643,79349,5518,2344,800,217268,8553,41819,3206,3608,342,671113,10213,35881,6351,700605,9768,29492,3972,370193,9578,105339,4824,595266,8836,700605,9768,308905,4065,103132,4059,205773,5715,700605,9768
California,06,13,56906,2147,280968,4937,308249,4375,27281,2825,37102,2996,45320,2798,56961,3197,117862,4908,103592,4200,95704,3685,37686,2956,45897,2968,41624,2893,88153,3887,712144,3623,42243,3160,570186,4707,29584,2407,369718,4604,342426,4288,712144,3623,30810,3945,29717,2969,122011,5596,99860,5131,79041,5226,44753,4278,45,1.3,84.7,1,492832,5762,86640,5399,3517,1320,150549,6800,140710,5428,2914,1182,671425,5687,33263,5829,712144,3623,40719,4689,340472,9226,147515,7856,564629,8060,712144,3623,280968,4937,126418,3667,154550,5110,712144,3623
California,06,14,79287,3213,249447,3692,265066,3496,15619,2425,40199,3093,41595,2215,45780,3762,100022,3337,110109,3156,105696,3723,43688,2852,48442,2361,47135,2666,99724,3382,726958,10920,44568,2078,574320,8235,29542,1997,371627,6276,355331,6134,726958,10920,32928,3750,37649,3530,130022,6148,73563,3525,96887,6695,34908,3759,39.8,1.3,86.7,0.9,511128,7342,105171,5879,1706,628,227975,9100,25616,2724,10709,582,694662,11756,55344,7552,726958,10920,32296,4063,373312,10388,181404,6490,545554,9230,726958,10920,249447,3692,144577,3968,104870,4158,726958,10920
California,06,15,82179,2462,233290,4441,244584,4685,11294,2400,45999,3535,45413,3440,46082,3470,97036,4836,108449,4862,110785,4717,49980,3212,43132,3150,38089,3043,72824,3658,708580,6270,50791,3981,531424,6674,30889,2465,357473,5753,351107,5155,708580,6270,26950,3116,34842,2963,119231,5180,62445,4393,101163,5556,30526,3085,38.6,1.2,87.8,0.9,470315,7184,95158,4272,2945,1329,199382,8333,45075,4397,9462,1655,671339,6982,60223,7319,708580,6270,37241,5156,354252,11092,171163,9342,537417,9135,708580,6270,233290,4441,146759,4561,86531,4428,708580,6270
California,06,16,36372,1887,196279,4665,218706,4038,22427,2586,61546,3843,66265,2742,62174,3304,102700,3650,87940,3795,84042,3562,61535,4292,33467,2803,27090,2393,64140,2708,714214,12706,63315,3124,487589,9626,27357,2431,358297,7796,355917,7491,714214,12706,53607,4167,26536,3062,30896,3200,12753,1733,97480,5511,90464,5008,10.9,0.9,63.9,1.4,399379,8118,87643,5402,7938,2405,66695,4506,41790,4093,2251,1557,687412,13542,149908,13192,714214,12706,26802,4090,418830,13644,415280,10140,298934,7936,714214,12706,196279,4665,97028,4854,99251,4618,714214,12706
California,06,17,92030,2398,237901,4590,246663,4847,8762,1871,43974,3273,42339,2809,40567,3433,116517,5976,115937,4709,111458,4804,51751,3745,42522,3557,33933,3249,75724,4164,724244,11502,49522,3426,552568,10062,23083,2525,359411,7022,364833,8722,724244,11502,24080,3292,32752,2869,133258,7157,116451,5111,87333,5732,25754,3330,50.3,1.4,90,1,496091,9135,76463,4012,3760,1498,353945,11218,19155,3664,3807,1493,691854,10873,49917,8275,724244,11502,32390,5109,261270,9936,139017,10885,585227,12506,724244,11502,237901,4590,130006,4247,107895,4377,724244,11502
California,06,18,97001,3449,267814,4661,279332,4463,11518,1807,45494,3647,41647,2951,42325,3263,94300,5106,102676,5259,111956,4174,51819,4119,48108,3303,39727,2778,96806,3722,717397,13874,42539,3183,550577,9649,34217,2453,356126,8052,361271,8504,717397,13874,16642,2759,33069,3158,145277,5593,137711,5209,62405,4776,14992,2761,57.3,1.2,93.6,0.8,493573,8440,83477,4320,3759,1761,143444,7457,13357,2613,1413,1164,683665,13422,31352,6745,717397,13874,33732,3929,490340,11743,119385,11165,598012,10627,717397,13874,267814,4661,161641,3909,106173,4704,717397,13874
California,06,19,71479,2558,214219,4691,225925,4242,11706,2062,44952,3548,48230,3452,47131,3205,103553,5143,109189,5846,99105,4546,48228,3697,41170,3324,30237,2659,73841,3407,695402,16667,49766,3425,524455,11518,23931,2111,347373,10114,348029,8612,695402,16667,44015,3769,33409,2843,95825,5902,45995,3626,98465,6201,49107,3850,31,1.3,79.6,1.1,457095,9601,90279,4530,5478,1973,179225,11361,21442,3330,2992,1166,665134,16654,91581,11436,695402,16667,30268,3693,364416,15446,286992,14718,408410,13550,695402,16667,214219,4691,125713,3848,88506,4207,695402,16667
California,06,20,55752,1854,219586,4059,243506,2779,23920,2796,45820,2965,57366,1967,62502,2167,101369,2183,91434,1657,91228,2088,51966,2975,42521,2658,37902,2649,77697,1373,712087,4551,52282,1372,524989,3767,33762,2080,352812,2780,359275,3320,712087,4551,41000,3343,33360,2790,72196,4009,44001,3063,84750,4418,77911,4151,26.3,1,73.1,0.9,442151,3347,88933,4980,4223,1469,38078,2132,16888,1625,2503,409,688605,5976,87232,9923,712087,4551,23482,3427,539681,12125,366774,3907,345313,4322,712087,4551,219586,4059,111283,3515,108303,3592,712087,4551
California,06,21,37228,1398,180751,4485,196031,4535,15280,2304,55563,3995,59453,3468,64326,3949,109925,4910,93872,4159,83310,3947,65807,3654,31596,2493,28072,2593,53383,3035,714164,16451,68857,3677,484056,10604,25540,2704,332085,8807,382079,9751,714164,16451,67726,4423,23539,3145,24797,2329,10690,1493,96473,4929,104340,5449,8.9,0.6,57,1.5,400158,8415,72593,5025,9823,2685,20773,2778,28717,3371,1368,1563,693189,16037,136437,12372,714164,16451,20975,3359,496071,18614,514644,15258,199520,7547,714164,16451,180751,4485,91170,3551,89581,4340,714164,16451
California,06,22,49844,2135,229515,4202,247152,4116,17637,2771,56213,4271,56080,2834,54773,3665,98180,4413,89729,3807,88002,3787,58468,4182,39840,2837,35791,2710,76446,3020,711709,14821,58187,3641,504049,9727,37636,3026,362002,9124,349707,8291,711709,14821,37160,3363,33622,3316,64786,4237,31232,3076,95806,4984,53851,5018,22.4,1,78.7,1.4,427988,7460,111531,5667,5745,1444,51525,4410,21952,3020,1476,660,683486,14414,93019,8654,711709,14821,28223,4627,509769,11799,326375,12516,385334,8765,711709,14821,229515,4202,135593,4080,93922,4065,711709,14821
California,06,23,51232,1958,231729,4930,264805,4618,33076,4208,55295,4028,57714,3397,52251,3762,98806,4674,88354,3339,99066,3842,51385,3281,42387,2429,31487,2308,78280,3180,707345,14802,52320,3302,509114,10026,46631,3408,345047,8841,362298,8188,707345,14802,45886,4303,41698,3909,52355,3691,27673,2526,120154,6969,30238,3650,18.3,1.1,82.6,1.2,438380,7669,120376,5505,9767,2509,36513,4754,47977,4255,977,631,676121,15298,44981,6996,707345,14802,31224,5407,535906,13753,250557,13118,456788,8236,707345,14802,231729,4930,142494,4891,89235,5207,707345,14802
California,06,24,56943,1980,246667,3489,275536,1287,28869,3246,41930,2292,62581,1301,75774,1690,89433,1208,80122,1178,93323,1321,38579,2558,49575,2245,36924,2206,99514,953,708744,1968,40989,599,558416,2832,47191,3174,351370,1707,357374,1792,708744,1968,33220,3249,37976,3239,85777,4668,56646,3425,83182,4784,41290,3587,31.7,1.2,83.4,0.9,448891,2106,110800,4971,6084,1413,32418,2139,14234,1456,864,302,681965,3695,64419,7563,708744,1968,26779,3375,563946,7421,245682,1575,463062,1467,708744,1968,246667,3489,129313,3325,117354,4096,708744,1968
California,06,25,68551,2843,215120,5039,231242,5170,16122,2304,61758,4525,62571,4789,53530,3754,85504,5965,102379,5542,108015,5634,53807,4615,44128,3130,30690,2808,61611,4703,714313,12894,50320,4322,507604,9800,32622,2766,352288,9142,362025,8216,714313,12894,34640,3508,38993,3375,74917,4506,36648,3491,98316,5060,34714,4442,25.8,1.3,84,1.3,432327,9323,114099,5477,3629,1288,57031,8130,54976,7336,1006,656,673771,13321,102008,9928,714313,12894,40542,4446,455121,11362,270689,14113,443624,13380,714313,12894,215120,5039,146842,4557,68278,3809,714313,12894
California,06,26,72804,2161,225158,2844,240077,2198,14919,2181,54149,2505,52949,1819,49476,1741,91397,2796,91313,2189,103233,2420,46742,2539,45770,2724,36474,2378,89254,2084,708300,3714,47543,1230,523959,3567,40948,2455,357137,2896,351163,3010,708300,3714,34790,3440,39308,3401,89848,3759,54771,3329,85162,5023,48031,4579,31.6,1.1,81.9,1.2,457441,3338,105531,5138,4254,1352,47964,2767,14984,1717,987,407,678913,6210,72978,9817,708300,3714,29387,4624,537746,11151,308018,5209,400282,5913,708300,3714,225158,2844,145038,3599,80120,3273,708300,3714
California,06,27,63561,3046,244013,4617,261161,4572,17148,2591,43660,3409,45072,3129,43750,3773,90120,4488,101051,5405,112221,5207,35296,3191,50292,3708,43556,3191,107907,5522,709231,9654,36306,3424,564693,9321,28797,2732,363569,6758,345662,7350,709231,9654,32005,2990,39521,3128,119520,6318,82362,4378,93118,5908,45499,4259,40,1.3,84.7,1,505147,8230,93122,4601,1993,873,258076,12035,30664,5654,609,498,686657,9788,56255,8361,709231,9654,22574,3065,339060,13122,184997,11530,524234,13067,709231,9654,244013,4617,133481,3584,110532,4518,709231,9654
California,06,28,51500,1567,294002,6199,318833,5727,24831,2972,33500,3347,34992,3369,48126,4029,126662,6929,109041,6002,105711,5119,29372,3473,48505,4163,39217,3507,99373,4901,706585,13584,32086,3370,591137,11631,23106,2136,357002,8086,349583,10015,706585,13584,31760,3079,40478,4129,152873,7667,69549,4419,86390,5656,44420,3694,42.1,1.3,85.6,0.8,528509,11189,103039,5631,2974,1537,95416,7500,15924,2643,1247,875,682093,13576,66715,7481,706585,13584,24492,2913,499817,13782,178628,10821,527957,15162,706585,13584,294002,6199,101008,3847,192994,5793,706585,13584
California,06,29,43780,1608,194101,4488,207656,4900,13555,1853,46365,3539,52360,3643,57555,4378,115645,6292,95386,5961,93537,5657,45930,3611,37064,2752,28421,2939,61305,2939,687063,22015,53495,4317,509863,15162,14728,1430,341136,12173,345927,12659,687063,22015,59310,4749,25451,2507,59112,4102,18170,2419,102920,5891,87444,5348,17.9,1,66,1.4,431358,12493,78951,5178,3686,1345,56132,7664,27579,4425,433,326,668281,21944,151822,12976,687063,22015,18782,3171,428629,20569,465073,19675,221990,12411,687063,22015,194101,4488,80717,2803,113384,4313,687063,22015
California,06,30,67079,2733,264706,5677,284541,6117,19835,2535,43479,3425,41714,3895,49850,5567,113093,8171,107671,6097,106499,5657,40730,4014,45381,3901,38758,3610,98798,4982,726471,19353,40498,4413,578222,14935,29115,2272,365091,11530,361380,11435,726471,19353,26951,3175,36388,3328,131373,6289,72844,5346,98500,5753,34315,4043,40,1.2,88,1,510200,11993,109829,4869,4225,1623,93088,8524,30714,4908,462,334,697451,19064,77541,10917,726471,19353,29020,4183,491421,18263,209413,13527,517058,15878,726471,19353,264706,5677,141611,4470,123095,4980,726471,19353
California,06,31,50882,1743,217555,5008,232814,5357,15259,2887,59087,5161,62545,4439,59938,5065,115063,5878,92946,6332,90309,5861,53015,5155,43239,4295,28502,3504,64453,4759,727523,12675,58426,5422,519702,10155,32415,3744,365139,8072,362384,9080,727523,12675,49491,4469,32917,4317,59519,5164,36144,4532,108614,7539,41801,5186,22,1.4,79,1.5,434512,8818,106026,8913,6938,3149,54159,6795,72071,7755,3200,2082,685723,14008,134507,15645,727523,12675,41800,7455,414848,17512,358708,15694,368815,13325,727523,12675,217555,5008,122476,4859,95079,6441,727523,12675
California,06,32,57062,1804,192566,3860,202587,4541,10021,1832,51008,3424,55095,3866,56129,5065,96576,5805,92922,5529,97844,5314,44565,3133,40946,3059,34303,2960,79595,3860,693701,11492,44718,3579,521332,10182,25181,2428,355279,8346,338422,8458,693701,11492,52606,3931,32465,3021,61718,3964,25357,2461,114411,6478,65913,4271,19.7,1,73.2,1.1,442186,8340,89716,4378,3690,1150,113045,6975,18821,3411,510,473,670592,11208,169500,12960,693701,11492,23109,3569,365026,15065,429375,13885,264326,9425,693701,11492,192566,3860,120857,3837,71709,3156,693701,11492
California,06,33,89354,4099,298129,6746,326902,7781,28773,3748,37831,3541,47703,4119,51788,4244,97006,6427,102319,5151,108638,5622,38166,4272,49632,4103,39109,3169,103512,4530,707854,14728,32150,3034,573879,13177,33411,2706,368169,9344,339685,9942,707854,14728,11146,2100,32799,3388,177159,7961,134885,6313,52587,4159,9216,1570,62.4,1.3,95.9,0.6,500216,11616,82424,5392,1370,778,98676,9207,23554,5159,2491,1689,677984,14105,17502,3509,707854,14728,29870,4111,534391,14130,87605,7881,620249,14162,707854,14728,298129,6746,145559,4851,152570,5916,707854,14728
California,06,34,32667,1030,227834,5288,251805,5462,23971,2757,41655,3704,48820,3484,57782,4015,121107,6055,108456,4874,90619,5453,42974,3571,38497,2611,33665,2878,70222,3860,698741,17188,44944,3618,541276,12494,12857,1557,338482,9837,360259,10482,698741,17188,66648,4119,23571,2305,66374,4652,23869,2303,98043,5935,112181,6458,19.5,1.1,61.3,1.3,462566,10925,71880,5071,3498,1073,135181,9330,27740,3329,1697,1343,680699,17193,245329,12863,698741,17188,18042,2613,267254,14271,464478,16599,234263,12333,698741,17188,227834,5288,48785,2542,179049,4898,698741,17188
California,06,35,51699,2651,183473,4851,194579,5257,11106,2365,58515,4436,63775,4247,62718,4318,102218,5660,107389,5932,91899,5475,55563,4892,32875,3303,27091,2731,53579,4557,710704,9208,55082,4596,505781,8462,19923,2572,361186,6438,349518,7755,710704,9208,57037,4742,26854,3088,41035,4522,13811,2484,113274,5887,74897,5934,13.2,1.2,68.2,1.7,415051,8241,88143,5759,4521,1752,44246,5635,50144,7982,760,939,681430,9935,148178,13587,710704,9208,29274,5840,433581,16525,497715,16027,212989,13326,710704,9208,183473,4851,111641,4827,71832,4559,710704,9208
California,06,36,42922,1467,255400,5807,342399,6315,86999,4833,52730,3988,46338,4575,43195,4690,88070,5760,85857,5862,88283,4989,50679,3827,38124,3309,40770,3924,133015,4948,713166,9558,46105,4838,532664,8998,52984,3629,356555,6274,356611,8034,713166,9558,54482,4961,33365,3556,57797,5133,34241,3695,128083,6993,50013,4748,19.4,1.2,78,1.4,474119,8631,116138,6160,7526,2298,25771,5361,27420,5967,1660,1214,693721,10642,145241,11783,713166,9558,19445,4679,486103,14767,341436,12844,371730,11274,713166,9558,255400,5807,164351,5118,91049,4901,713166,9558
California,06,37,46081,1328,265221,5753,287951,5915,22730,3472,38836,3909,49564,4579,63358,4623,128681,7004,105858,6629,91206,5137,38297,3533,43388,3285,31179,3180,80330,5070,719034,21695,48337,4093,564877,15128,21839,2292,369912,11745,349122,13230,719034,21695,45615,3577,28112,3223,107334,6230,63488,4081,88387,5522,64358,5986,35.5,1.4,77.1,1.3,480642,13124,83348,4849,3604,1313,69019,6000,174704,10537,1725,1328,691401,21604,163860,13666,719034,21695,27633,4278,278489,15094,283149,18364,435885,15813,719034,21695,265221,5753,91126,4280,174095,5321,719034,21695
California,06,38,59781,1854,202653,4354,211778,4624,9125,1685,52017,3597,58002,4080,57278,4237,102161,6138,99686,5855,93049,5184,48219,3525,42858,3182,32476,2852,80945,4028,714100,11951,47409,4175,531427,9950,26243,2095,363213,8480,350887,7279,714100,11951,49611,4506,32639,2875,64247,4542,29942,2259,113953,5768,55793,4683,20.9,1.1,76.6,1.4,451175,8691,104990,5326,6486,1910,102304,8210,31675,4497,821,453,689332,12453,207281,12036,714100,11951,24768,3537,340765,12568,437237,12987,276863,11386,714100,11951,202653,4354,120447,3312,82206,3801,714100,11951
California,06,39,76748,2403,217100,4769,227468,5331,10368,2201,53173,3539,53048,3485,53449,4821,91881,5199,96992,5102,110570,5183,42567,3972,45749,3627,37089,3325,86407,4072,711645,11262,40720,3559,540491,11222,27334,2307,357762,7408,353883,7704,711645,11262,27402,3299,38424,3292,121406,6700,63049,3595,86063,4973,31048,3079,39.4,1.3,87.5,0.9,468688,10034,101296,6234,2622,1110,201344,10465,17398,3594,1984,1165,685477,12076,69790,9975,711645,11262,26168,3982,392339,12802,246333,12478,465312,13498,711645,11262,217100,4769,149391,4576,67709,3001,711645,11262
California,06,40,37876,1481,174117,4185,183807,4489,9690,1491,62887,4369,65287,3609,59492,3718,105212,5495,107776,5713,83141,4224,60697,4218,31055,3055,26755,2944,46974,3270,708460,18340,59184,4262,484408,12082,9338,1784,354784,9739,353676,10693,708460,18340,78918,4408,18066,2570,26351,2815,6421,1175,97082,5218,118027,5744,8.2,0.8,50.9,1.5,400913,10701,56048,4028,2136,1016,14715,3567,39832,5014,1990,1678,696485,18602,235925,17006,708460,18340,11975,2300,401887,14824,613422,19445,95038,7295,708460,18340,174117,4185,61810,3027,112307,4339,708460,18340
California,06,41,49887,1884,191160,4593,208286,4964,17126,2787,62164,4529,71437,4355,68317,5191,99362,5509,92256,6410,90420,4398,58857,5053,38708,3704,27344,2724,55477,4141,722665,11013,58323,4899,504340,8867,28887,3262,364830,8100,357835,8132,722665,11013,56967,5206,28042,3544,39025,4416,23257,3105,105192,7099,55266,4871,15.4,1.2,72.2,1.6,403567,8361,95818,5719,10205,4325,38714,6408,71143,8361,1076,813,697320,11276,127177,14171,722665,11013,25345,3863,449005,15584,426990,15776,295675,13432,722665,11013,191160,4593,116730,4502,74430,4675,722665,11013
California,06,42,71073,1616,210843,5579,228406,5364,17563,3436,53507,5081,57835,4210,49859,4803,95829,5517,106164,5782,104415,5684,52847,5518,40641,3556,30662,3858,72592,4452,717412,11503,53061,4588,518563,10504,46681,4091,358264,7700,359148,8450,717412,11503,38299,4938,33781,4157,72512,6936,40518,5208,111281,8867,24164,2798,25.1,1.9,86.1,1.1,450303,9923,129748,7677,3961,1514,64508,7833,43458,7531,3000,1953,687266,12355,76032,10915,717412,11503,30146,6488,496307,16118,238125,13174,479287,13136,717412,11503,210843,5579,152960,5520,57883,4463,717412,11503
California,06,43,44230,2396,233997,5190,252411,5333,18414,2108,47856,3855,52143,3930,54473,4542,100719,6603,99511,4678,96931,5075,51046,4583,38120,3776,35071,3626,74504,4569,702983,15079,52609,4635,519824,10918,26994,2618,370028,9082,332955,9492,702983,15079,44827,3577,31988,2979,68766,5317,34591,3354,101566,5865,62059,6216,23.2,1.3,76,1.5,444856,9775,101059,5603,2404,1197,90270,7273,165564,8446,6101,3892,674917,15231,127213,13105,702983,15079,28066,4504,283365,13133,322398,18097,380585,13154,702983,15079,233997,5190,98886,3586,135111,5227,702983,15079
California,06,44,43956,1413,177733,4122,191006,4038,13273,1710,63022,4443,63256,3673,59956,3986,106082,5455,91188,4811,91141,4187,53384,3755,34533,2904,27920,2233,61015,4137,713249,15522,61752,4492,497304,11247,17077,1992,368078,9690,345171,9655,713249,15522,67517,4882,25256,2314,34366,3283,10038,1448,101907,5380,94908,5262,10.8,0.9,60.6,1.3,411879,8658,77887,5067,3073,1226,33151,5486,107540,7937,4244,2326,679458,15862,182062,11881,713249,15522,33791,5811,349388,18352,502614,15413,210635,9409,713249,15522,177733,4122,87770,3522,89963,3136,713249,15522
California,06,45,89383,3778,250384,4351,263748,4480,13364,2893,47425,3299,53963,4033,52417,3863,94669,6095,101451,4949,111049,4252,46401,3851,45742,3545,43881,3460,86458,4207,721016,8950,37560,2705,556888,8636,31735,2839,368585,6416,352431,6326,721016,8950,14941,1823,39224,3375,152469,7608,89277,5568,67415,4502,21542,3087,50,1.6,92.5,0.7,483250,8219,98382,5660,2284,820,151346,9276,9907,2282,2391,1438,696750,9077,48709,8918,721016,8950,24266,3278,482113,13488,135164,9600,585852,10856,721016,8950,250384,4351,166964,4126,83420,3763,721016,8950
California,06,46,51899,1805,181677,3914,191953,3944,10276,1824,53380,3678,58963,3308,64264,3524,116942,5685,100795,4123,87214,4400,52444,3845,32375,2771,27349,2655,58149,3266,710948,11243,59073,3604,510960,7976,18400,2109,352086,6597,358862,7651,710948,11243,63998,4517,24039,2570,52238,4019,17251,2256,100250,4797,85566,5221,16.4,0.9,64.6,1.4,422824,7278,79482,4679,3563,1180,80861,6822,16071,3827,849,955,693771,11546,184971,13845,710948,11243,17177,3198,407456,14580,479041,13972,231907,9774,710948,11243,181677,3914,79031,3472,102646,3966,710948,11243
California,06,47,55590,1982,239968,4746,256780,5263,16812,2231,53470,3697,54437,4008,56040,4480,99828,6766,106124,5612,105012,5324,42501,3405,40893,3150,33870,3124,79562,4007,719805,13042,48068,4384,541528,10499,33405,2767,368602,8592,351203,7945,719805,13042,42096,3711,39433,3084,92657,4552,43147,3112,97285,5923,48439,4227,29.2,1.2,80.5,1,465289,9067,102232,5404,3166,1367,144328,8974,58541,7357,6289,2238,682625,13319,80049,9319,719805,13042,37180,4688,390252,14230,254404,14667,465401,13393,719805,13042,239968,4746,115071,3892,124897,3941,719805,13042
California,06,48,76077,2456,269109,4440,288055,4620,18946,2803,42551,3870,41625,3326,43140,4024,95983,5615,102616,5238,113506,4761,41425,3422,45512,3173,41588,3196,106720,4787,711992,7721,37326,3098,565540,8186,37157,3011,360342,5776,351650,6356,711992,7721,24832,2718,47300,3874,135280,6550,79190,4239,81518,5129,26254,3085,42.4,1.5,89.9,0.8,505925,7506,111551,5835,2661,1026,127155,7773,6823,1900,1983,1194,691688,8702,61545,8806,711992,7721,20304,2866,491521,13178,144163,9782,567829,9735,711992,7721,269109,4440,156270,4366,112839,4217,711992,7721
California,06,49,68129,2537,243205,5383,269086,6142,25881,3883,42795,4244,45989,4696,57524,4723,94888,6034,99749,5878,94146,6204,47202,4393,43129,3760,35737,3736,88663,4924,702141,12356,52319,5349,504145,9006,52715,4028,340846,7604,361295,8864,702141,12356,23906,3236,51455,5497,110315,5060,66782,4871,81491,5365,23156,3299,38.8,1.4,89.7,1,456312,8678,99207,5655,3053,1739,47400,8320,16612,3499,4147,2654,670120,12831,50399,8896,702141,12356,32021,4310,548509,14989,180348,11898,521793,12375,702141,12356,243205,5383,142315,4130,100890,4494,702141,12356
California,06,50,54971,3213,237038,5256,257317,5288,20279,2529,51772,4665,54603,4100,46966,4132,94719,6034,92499,6085,108623,6550,49427,4385,47214,3613,43951,3862,88012,5288,724472,11150,46686,3596,538274,11009,54969,3500,371112,8411,353360,7291,724472,11150,38686,3603,55371,4611,74868,5278,37819,3530,112581,6679,39288,5196,23.7,1.3,83.6,1.2,475018,9737,116405,6053,10842,2611,37387,7084,16117,4096,4579,1981,693819,11879,35043,6885,724472,11150,30653,5104,589851,15752,215415,12234,509057,13952,724472,11150,237038,5256,147402,4853,89636,4294,724472,11150
California,06,51,38528,1739,195401,4560,217318,4757,21917,2707,53809,3363,63685,3671,71972,4683,103535,4746,93818,3809,89802,4565,52370,4542,35208,2458,28269,2741,68852,3236,717894,16006,56574,3536,502971,11431,33762,2718,357249,10135,360645,8760,717894,16006,62896,3832,25242,2788,39252,3139,15425,1885,101077,4522,80927,3860,13,0.8,65.7,1.1,419484,9822,94665,5364,7521,2507,53735,5529,59421,6512,1075,580,690896,16558,122108,10316,717894,16006,26998,3798,447036,17159,495736,13789,222158,10640,717894,16006,195401,4560,84804,3175,110597,4076,717894,16006
